time,实时发电_风电
2025-08-24 06:15:00,673.927
2025-08-24 06:30:00,680.438
2025-08-24 06:45:00,676.45
2025-08-24 07:00:00,659.878
2025-08-24 07:15:00,637.365
2025-08-24 07:30:00,565.057
2025-08-24 07:45:00,493.618
2025-08-24 08:00:00,460.129
2025-08-24 08:15:00,453.084
2025-08-24 08:30:00,399.33
2025-08-24 08:45:00,355.907
2025-08-24 09:00:00,305.722
2025-08-24 09:15:00,257.123
2025-08-24 09:30:00,234.385
2025-08-24 09:45:00,244.204
2025-08-24 10:00:00,253.193
2025-08-24 10:15:00,282.414
2025-08-24 10:30:00,253.745
2025-08-24 10:45:00,274.42
2025-08-24 11:00:00,250.585
2025-08-24 11:15:00,168.924
2025-08-24 11:30:00,174.212
2025-08-24 11:45:00,179.092
2025-08-24 12:00:00,161.101
2025-08-24 12:15:00,156.594
2025-08-24 12:30:00,167.701
2025-08-24 12:45:00,200.804
2025-08-24 13:00:00,211.785
2025-08-24 13:15:00,199.975
2025-08-24 13:30:00,203.14
2025-08-24 13:45:00,203.907
2025-08-24 14:00:00,199.092
2025-08-24 14:15:00,218.622
2025-08-24 14:30:00,210.723
2025-08-24 14:45:00,206.467
2025-08-24 15:00:00,210.155
2025-08-24 15:15:00,202.212
2025-08-24 15:30:00,202.95
2025-08-24 15:45:00,209.625
2025-08-24 16:00:00,225.813
2025-08-24 16:15:00,215.585
2025-08-24 16:30:00,223.91
2025-08-24 16:45:00,236.095
2025-08-24 17:00:00,254.21
2025-08-24 17:15:00,262.703
2025-08-24 17:30:00,267.068
2025-08-24 17:45:00,254.32
2025-08-24 18:00:00,256.265
2025-08-24 18:15:00,272.575
2025-08-24 18:30:00,299.823
2025-08-24 18:45:00,342.802
2025-08-24 19:00:00,343.024
2025-08-24 19:15:00,361.575
2025-08-24 19:30:00,351.3
2025-08-24 19:45:00,351.61
2025-08-24 20:00:00,357.4
2025-08-24 20:15:00,383.943
2025-08-24 20:30:00,425.198
2025-08-24 20:45:00,481.225
2025-08-24 21:00:00,460.355
2025-08-24 21:15:00,460.895
2025-08-24 21:30:00,470.07
2025-08-24 21:45:00,467.707
2025-08-24 22:00:00,487.315
2025-08-24 22:15:00,499.932
2025-08-24 22:30:00,507.605
2025-08-24 22:45:00,508.83
2025-08-24 23:00:00,489.962
2025-08-24 23:15:00,490.585
2025-08-24 23:30:00,501.875
2025-08-24 23:45:00,508.84
2025-08-25 00:00:00,509.927
2025-08-25 00:15:00,491.635
2025-08-25 00:30:00,481.91
2025-08-25 00:45:00,461.42
2025-08-25 01:00:00,454.467
2025-08-25 01:15:00,469.473
2025-08-25 01:30:00,479.652
2025-08-25 01:45:00,482.367
2025-08-25 02:00:00,479.013
2025-08-25 02:15:00,472.775
2025-08-25 02:30:00,474.682
2025-08-25 02:45:00,481.342
2025-08-25 03:00:00,480.392
2025-08-25 03:15:00,477.015
2025-08-25 03:30:00,459.348
2025-08-25 03:45:00,458.415
2025-08-25 04:00:00,441.703
2025-08-25 04:15:00,437.453
2025-08-25 04:30:00,421.92
2025-08-25 04:45:00,427.462
2025-08-25 05:00:00,415.587
2025-08-25 05:15:00,404.842
2025-08-25 05:30:00,393.495
2025-08-25 05:45:00,364.497
2025-08-25 06:00:00,352.353
2025-08-25 06:15:00,336.022
2025-08-25 06:30:00,307.767
2025-08-25 06:45:00,290.323
2025-08-25 07:00:00,282.01
2025-08-25 07:15:00,267.978
2025-08-25 07:30:00,255.137
2025-08-25 07:45:00,236.682
2025-08-25 08:00:00,217.878
2025-08-25 08:15:00,206.19
2025-08-25 08:30:00,196.26
2025-08-25 08:45:00,172.58
2025-08-25 09:00:00,157.59
2025-08-25 09:15:00,140.765
2025-08-25 09:30:00,126.963
2025-08-25 09:45:00,116.018
2025-08-25 10:00:00,112.08
2025-08-25 10:15:00,105.467
2025-08-25 10:30:00,99.095
2025-08-25 10:45:00,94.28
2025-08-25 11:00:00,92.952
2025-08-25 11:15:00,94.948
2025-08-25 11:30:00,98.643
2025-08-25 11:45:00,95.555
2025-08-25 12:00:00,93.83
2025-08-25 12:15:00,88.177
2025-08-25 12:30:00,84.775
2025-08-25 12:45:00,88.067
2025-08-25 13:00:00,89.685
2025-08-25 13:15:00,89.165
2025-08-25 13:30:00,90.445
2025-08-25 13:45:00,87.158
2025-08-25 14:00:00,88.418
2025-08-25 14:15:00,92.418
2025-08-25 14:30:00,93.662
2025-08-25 14:45:00,94.015
2025-08-25 15:00:00,97.21
2025-08-25 15:15:00,102.27
2025-08-25 15:30:00,101.058
2025-08-25 15:45:00,93.717
2025-08-25 16:00:00,96.695
2025-08-25 16:15:00,95.243
2025-08-25 16:30:00,99.207
2025-08-25 16:45:00,106.433
2025-08-25 17:00:00,101.213
2025-08-25 17:15:00,103.382
2025-08-25 17:30:00,109.665
2025-08-25 17:45:00,116.643
2025-08-25 18:00:00,127.228
2025-08-25 18:15:00,138.87
2025-08-25 18:30:00,147.178
2025-08-25 18:45:00,163.285
2025-08-25 19:00:00,181.228
2025-08-25 19:15:00,205.114
2025-08-25 19:30:00,230.394
2025-08-25 19:45:00,255.621
2025-08-25 20:00:00,291.439
2025-08-25 20:15:00,314.994
2025-08-25 20:30:00,403.695
2025-08-25 20:45:00,486.302
2025-08-25 21:00:00,493.501
2025-08-25 21:15:00,508.342
2025-08-25 21:30:00,526.133
2025-08-25 21:45:00,493.631
2025-08-25 22:00:00,493.292
2025-08-25 22:15:00,509.212
2025-08-25 22:30:00,514.565
2025-08-25 22:45:00,542.162
2025-08-25 23:00:00,605.222
2025-08-25 23:15:00,652.403
2025-08-25 23:30:00,655.28
2025-08-25 23:45:00,702.102
2025-08-26 00:00:00,687.669
2025-08-26 00:15:00,661.109
2025-08-26 00:30:00,646.959
2025-08-26 00:45:00,631.439
2025-08-26 01:00:00,622.495
2025-08-26 01:15:00,618.588
2025-08-26 01:30:00,607.855
2025-08-26 01:45:00,547.205
2025-08-26 02:00:00,535.505
2025-08-26 02:15:00,524.985
2025-08-26 02:30:00,526.468
2025-08-26 02:45:00,514.345
2025-08-26 03:00:00,511.608
2025-08-26 03:15:00,509.362
2025-08-26 03:30:00,505.125
2025-08-26 03:45:00,520.167
2025-08-26 04:00:00,547.52
2025-08-26 04:15:00,552.362
2025-08-26 04:30:00,548.17
2025-08-26 04:45:00,545.643
2025-08-26 05:00:00,536.093
2025-08-26 05:15:00,525.56
2025-08-26 05:30:00,488.295
2025-08-26 05:45:00,462.115
2025-08-26 06:00:00,426.557
2025-08-26 06:15:00,403.307
2025-08-26 06:30:00,380.1
2025-08-26 06:45:00,354.038
2025-08-26 07:00:00,343.34
2025-08-26 07:15:00,317.408
2025-08-26 07:30:00,297.557
2025-08-26 07:45:00,271.75
2025-08-26 08:00:00,245.178
2025-08-26 08:15:00,208.705
2025-08-26 08:30:00,175.915
2025-08-26 08:45:00,151.253
2025-08-26 09:00:00,137.985
2025-08-26 09:15:00,119.33
2025-08-26 09:30:00,96.643
2025-08-26 09:45:00,80.507
2025-08-26 10:00:00,66.253
2025-08-26 10:15:00,58.673
2025-08-26 10:30:00,51.627
2025-08-26 10:45:00,48.9
2025-08-26 11:00:00,43.745
2025-08-26 11:15:00,40.475
2025-08-26 11:30:00,35.952
2025-08-26 11:45:00,33.583
2025-08-26 12:00:00,33.813
2025-08-26 12:15:00,37.15
2025-08-26 12:30:00,35.705
2025-08-26 12:45:00,38.463
2025-08-26 13:00:00,42.412
2025-08-26 13:15:00,44.545
2025-08-26 13:30:00,44.757
2025-08-26 13:45:00,45.472
2025-08-26 14:00:00,44.873
2025-08-26 14:15:00,53.27
2025-08-26 14:30:00,54.71
2025-08-26 14:45:00,69.223
2025-08-26 15:00:00,62.217
2025-08-26 15:15:00,65.863
2025-08-26 15:30:00,72.713
2025-08-26 15:45:00,91.272
2025-08-26 16:00:00,104.662
2025-08-26 16:15:00,104.488
2025-08-26 16:30:00,105.902
2025-08-26 16:45:00,93.62
2025-08-26 17:00:00,91.7
2025-08-26 17:15:00,101.732
2025-08-26 17:30:00,102.313
2025-08-26 17:45:00,109.908
2025-08-26 18:00:00,112.895
2025-08-26 18:15:00,115.425
2025-08-26 18:30:00,154.688
2025-08-26 18:45:00,164.327
2025-08-26 19:00:00,169.805
2025-08-26 19:15:00,165.742
2025-08-26 19:30:00,167.723
2025-08-26 19:45:00,185.82
2025-08-26 20:00:00,189.928
2025-08-26 20:15:00,194.565
2025-08-26 20:30:00,193.22
2025-08-26 20:45:00,215.04
2025-08-26 21:00:00,238.122
2025-08-26 21:15:00,266.313
2025-08-26 21:30:00,282.922
2025-08-26 21:45:00,301.755
2025-08-26 22:00:00,324.395
2025-08-26 22:15:00,330.728
2025-08-26 22:30:00,346.89
2025-08-26 22:45:00,354.612
2025-08-26 23:00:00,354.522
2025-08-26 23:15:00,361.165
2025-08-26 23:30:00,358.547
2025-08-26 23:45:00,351.723
2025-08-27 00:00:00,348.18
2025-08-27 00:15:00,355.832
2025-08-27 00:30:00,359.745
2025-08-27 00:45:00,360.258
2025-08-27 01:00:00,340.612
2025-08-27 01:15:00,335.655
2025-08-27 01:30:00,324.32
2025-08-27 01:45:00,331.83
2025-08-27 02:00:00,322.723
2025-08-27 02:15:00,307.88
2025-08-27 02:30:00,296.432
2025-08-27 02:45:00,275.823
2025-08-27 03:00:00,268.348
2025-08-27 03:15:00,262.595
2025-08-27 03:30:00,247.56
2025-08-27 03:45:00,232.12
2025-08-27 04:00:00,221.693
2025-08-27 04:15:00,204.857
2025-08-27 04:30:00,197.58
2025-08-27 04:45:00,191.872
2025-08-27 05:00:00,182.553
2025-08-27 05:15:00,174.61
2025-08-27 05:30:00,165.07
2025-08-27 05:45:00,157.943
2025-08-27 06:00:00,153.018
2025-08-27 06:15:00,154.93
2025-08-27 06:30:00,141.62
2025-08-27 06:45:00,135.455
2025-08-27 07:00:00,126.768
2025-08-27 07:15:00,120.857
2025-08-27 07:30:00,116.105
2025-08-27 07:45:00,106.735
2025-08-27 08:00:00,98.173
