time,实时发电_火电
2025-12-23 15:15:00,2821.531
2025-12-23 15:30:00,2912.349
2025-12-23 15:45:00,2837.594
2025-12-23 16:00:00,2715.251
2025-12-23 16:15:00,2631.906
2025-12-23 16:30:00,2590.316
2025-12-23 16:45:00,2543.212
2025-12-23 17:00:00,2670.429
2025-12-23 17:15:00,2608.972
2025-12-23 17:30:00,2676.792
2025-12-23 17:45:00,2670.844
2025-12-23 18:00:00,2690.666
2025-12-23 18:15:00,2596.578
2025-12-23 18:30:00,2446.693
2025-12-23 18:45:00,2357.052
2025-12-23 19:00:00,2282.14
2025-12-23 19:15:00,2254.214
2025-12-23 19:30:00,2206.704
2025-12-23 19:45:00,2198.534
2025-12-23 20:00:00,2187.58
2025-12-23 20:15:00,2251.717
2025-12-23 20:30:00,2366.609
2025-12-23 20:45:00,2427.88
2025-12-23 21:00:00,2373.698
2025-12-23 21:15:00,2334.565
2025-12-23 21:30:00,2334.597
2025-12-23 21:45:00,2285.994
2025-12-23 22:00:00,2189.729
2025-12-23 22:15:00,2097.566
2025-12-23 22:30:00,1961.22
2025-12-23 22:45:00,1893.463
2025-12-23 23:00:00,1834.87
2025-12-23 23:15:00,1816.238
2025-12-23 23:30:00,1809.571
2025-12-23 23:45:00,1739.05
2025-12-24 00:00:00,1833.034
2025-12-24 00:15:00,2089.008
2025-12-24 00:30:00,2270.743
2025-12-24 00:45:00,2275.189
2025-12-24 01:00:00,2194.108
2025-12-24 01:15:00,2045.172
2025-12-24 01:30:00,1989.319
2025-12-24 01:45:00,1928.293
2025-12-24 02:00:00,1895.011
2025-12-24 02:15:00,1827.75
2025-12-24 02:30:00,1780.787
2025-12-24 02:45:00,1802.784
2025-12-24 03:00:00,1805.957
2025-12-24 03:15:00,1804.49
2025-12-24 03:30:00,1767.79
2025-12-24 03:45:00,1829.981
2025-12-24 04:00:00,1818.051
2025-12-24 04:15:00,1787.792
2025-12-24 04:30:00,1829.927
2025-12-24 04:45:00,1800.62
2025-12-24 05:00:00,1824.416
2025-12-24 05:15:00,1875.822
2025-12-24 05:30:00,1932.185
2025-12-24 05:45:00,1964.256
2025-12-24 06:00:00,1947.445
2025-12-24 06:15:00,2015.256
2025-12-24 06:30:00,2188.65
2025-12-24 06:45:00,2335.198
2025-12-24 07:00:00,2376.38
2025-12-24 07:15:00,2183.964
2025-12-24 07:30:00,2236.897
2025-12-24 07:45:00,2268.835
2025-12-24 08:00:00,2404.188
2025-12-24 08:15:00,2531.853
2025-12-24 08:30:00,2680.289
2025-12-24 08:45:00,2787.625
2025-12-24 09:00:00,2817.302
2025-12-24 09:15:00,2855.596
2025-12-24 09:30:00,2890.633
2025-12-24 09:45:00,2945.79
2025-12-24 10:00:00,3118.393
2025-12-24 10:15:00,3177.744
2025-12-24 10:30:00,3228.786
2025-12-24 10:45:00,3288.383
2025-12-24 11:00:00,3292.447
2025-12-24 11:15:00,3211.486
2025-12-24 11:30:00,3084.672
2025-12-24 11:45:00,3130.106
2025-12-24 12:00:00,3438.7
2025-12-24 12:15:00,3479.978
2025-12-24 12:30:00,3500.052
2025-12-24 12:45:00,3339.973
2025-12-24 13:00:00,3309.22
2025-12-24 13:15:00,3261.218
2025-12-24 13:30:00,3342.979
2025-12-24 13:45:00,3094.27
2025-12-24 14:00:00,2966.144
2025-12-24 14:15:00,2807.246
2025-12-24 14:30:00,2790.081
2025-12-24 14:45:00,2779.295
2025-12-24 15:00:00,2783.864
2025-12-24 15:15:00,2785.723
2025-12-24 15:30:00,2824.8
2025-12-24 15:45:00,2776.466
2025-12-24 16:00:00,2638.669
2025-12-24 16:15:00,2615.146
2025-12-24 16:30:00,2680.242
2025-12-24 16:45:00,2615.33
2025-12-24 17:00:00,2711.694
2025-12-24 17:15:00,2679.618
2025-12-24 17:30:00,2677.261
2025-12-24 17:45:00,2661.412
2025-12-24 18:00:00,2635.436
2025-12-24 18:15:00,2634.223
2025-12-24 18:30:00,2521.334
2025-12-24 18:45:00,2539.44
2025-12-24 19:00:00,2558.816
2025-12-24 19:15:00,2519.39
2025-12-24 19:30:00,2504.958
2025-12-24 19:45:00,2464.257
2025-12-24 20:00:00,2467.954
2025-12-24 20:15:00,2493.205
2025-12-24 20:30:00,2493.725
