time,实时出清价格
2025-11-04 22:30:00,247.233307
2025-11-04 22:45:00,247.215164
2025-11-04 23:00:00,282.056885
2025-11-04 23:15:00,186.370163
2025-11-04 23:30:00,181.65918
2025-11-04 23:45:00,245.069199
2025-11-05 00:00:00,153.588654
2025-11-05 00:15:00,314.066132
2025-11-05 00:30:00,313.000092
2025-11-05 00:45:00,300.000061
2025-11-05 01:00:00,312.999939
2025-11-05 01:15:00,300.0
2025-11-05 01:30:00,298.000092
2025-11-05 01:45:00,297.000092
2025-11-05 02:00:00,296.999847
2025-11-05 02:15:00,297.000122
2025-11-05 02:30:00,294.000153
2025-11-05 02:45:00,186.823685
2025-11-05 03:00:00,229.180069
2025-11-05 03:15:00,297.000153
2025-11-05 03:30:00,297.000061
2025-11-05 03:45:00,296.000244
2025-11-05 04:00:00,300.000031
2025-11-05 04:15:00,299.999969
2025-11-05 04:30:00,300.000061
2025-11-05 04:45:00,300.000061
2025-11-05 05:00:00,311.999939
2025-11-05 05:15:00,314.0
2025-11-05 05:30:00,314.000031
2025-11-05 05:45:00,314.000031
2025-11-05 06:00:00,315.999969
2025-11-05 06:15:00,317.452515
2025-11-05 06:30:00,319.520294
2025-11-05 06:45:00,325.004639
2025-11-05 07:00:00,322.631805
2025-11-05 07:15:00,314.000031
2025-11-05 07:30:00,300.000214
2025-11-05 07:45:00,314.023193
2025-11-05 08:00:00,296.999969
2025-11-05 08:15:00,255.028915
2025-11-05 08:30:00,22.939932
2025-11-05 08:45:00,4.492557
2025-11-05 09:00:00,4.048831
2025-11-05 09:15:00,4.977931
2025-11-05 09:30:00,4.682313
2025-11-05 09:45:00,4.214938
2025-11-05 10:00:00,3.908407
2025-11-05 10:15:00,4.837632
2025-11-05 10:30:00,4.960813
2025-11-05 10:45:00,4.717568
2025-11-05 11:00:00,4.632617
2025-11-05 11:15:00,4.564411
2025-11-05 11:30:00,3.787389
2025-11-05 11:45:00,3.914114
2025-11-05 12:00:00,4.910754
2025-11-05 12:15:00,5.503861
2025-11-05 12:30:00,5.563265
2025-11-05 12:45:00,6.317122
2025-11-05 13:00:00,6.710744
2025-11-05 13:15:00,6.510479
2025-11-05 13:30:00,6.344854
2025-11-05 13:45:00,6.350005
2025-11-05 14:00:00,6.327195
2025-11-05 14:15:00,6.082246
2025-11-05 14:30:00,6.546473
2025-11-05 14:45:00,6.388769
2025-11-05 15:00:00,6.967011
2025-11-05 15:15:00,6.743002
2025-11-05 15:30:00,112.768532
2025-11-05 15:45:00,154.423904
2025-11-05 16:00:00,301.95163
2025-11-05 16:15:00,318.402954
2025-11-05 16:30:00,319.516663
2025-11-05 16:45:00,321.138397
2025-11-05 17:00:00,327.344208
2025-11-05 17:15:00,328.660614
2025-11-05 17:30:00,345.400421
2025-11-05 17:45:00,337.141479
2025-11-05 18:00:00,335.534943
2025-11-05 18:15:00,314.320862
2025-11-05 18:30:00,292.989929
2025-11-05 18:45:00,276.281097
2025-11-05 19:00:00,253.780624
2025-11-05 19:15:00,287.281433
2025-11-05 19:30:00,243.177551
2025-11-05 19:45:00,284.880524
2025-11-05 20:00:00,277.103729
2025-11-05 20:15:00,276.525604
2025-11-05 20:30:00,278.588501
2025-11-05 20:45:00,280.945007
2025-11-05 21:00:00,275.646606
2025-11-05 21:15:00,279.542267
2025-11-05 21:30:00,282.562958
2025-11-05 21:45:00,314.05719
2025-11-05 22:00:00,286.452515
